"fecha_oficia"|"aduana"|"aduana_desc"|"mercaderia"|"mercaderia_desc"|"cantidad"|"kilos"|"importe"
20140221|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|58|1989715.14|3370277.1
20140308|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|4|70000|265412
20140318|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|85|2790499.36|4294340.3
20140528|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|90|2146339.88|4387554.98
20140604|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|84|2500998.41|4731245.9
20140618|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|54|3191770.71|4509306.44
20140516|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|43|1351189.36|2460465.93
20140217|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|41|975164.79|2591670.37
20140612|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|2415935.7|4543163.43
20140203|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|48|1004659.04|4045452.71
20140508|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|3007716.06|5096977.25
20140226|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|49|2298013.7|4655775.69
20140211|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|26|746797.01|1663643.24
20140314|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|33|902045|2070326.95
20140331|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|43|1081127.53|2708314.05
20140428|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|52|1364349.9|3743490.86
20141127|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|54|1081437.25|2918939.35
20140926|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|69|1394602.75|3504087.05
20140905|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|48|874481.73|2093092.42
20141211|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|75|1220834.18|3303619.53
20141222|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|1190931.9|3081433.8
